date,day_of_week,is_weekend,google_ads_spend,facebook_ads_spend,email_spend,total_ad_spend,revenue,transactions,avg_order_value
2023-01-01,6,1,2159.34,1423.2,519.58,4102.12,15436.24,318,48.54
2023-01-02,0,0,1979.17,1551.7,402.16,3933.03,16869.96,447,37.74
2023-01-03,1,0,2225.28,1512.84,540.83,4278.95,15417.3,322,47.88
2023-01-04,2,0,2498.19,1533.3,329.74,4361.23,18748.8,452,41.48
2023-01-05,3,0,1981.33,1362.59,602.92,3946.84,17213.85,389,44.25
2023-01-06,4,0,1991.62,1525.52,747.26,4264.4,18326.1,328,55.87
2023-01-07,5,1,2545.89,1623.64,525.6,4695.13,13963.12,209,66.81
2023-01-08,6,1,2312.6,1817.68,598.27,4728.55,18888.43,350,53.97
2023-01-09,0,0,1951.74,1722.72,666.55,4341.01,17477.44,459,38.08
2023-01-10,1,0,2265.54,1964.9,601.44,4831.88,19701.93,362,54.43
2023-01-11,2,0,1973.91,1384.18,315.91,3674.0,15864.77,256,61.97
2023-01-12,3,0,1983.34,1715.49,372.04,4070.87,18140.04,413,43.92
2023-01-13,4,0,2205.74,1581.05,637.52,4424.31,17032.93,350,48.67
2023-01-14,5,1,1569.22,1985.7,502.61,4057.53,15104.44,301,50.18
2023-01-15,6,1,1635.74,1389.41,551.77,3576.92,16972.54,403,42.12
2023-01-16,0,0,1994.49,1386.45,427.43,3808.37,17121.27,303,56.51
2023-01-17,1,0,1869.24,1437.82,518.68,3825.74,17496.76,359,48.74
2023-01-18,2,0,2277.23,1136.21,424.46,3837.9,18468.05,341,54.16
2023-01-19,3,0,1920.35,1459.1,438.85,3818.3,17927.7,436,41.12
2023-01-20,4,0,1778.82,1415.68,559.33,3753.83,17403.48,381,45.68
2023-01-21,5,1,2651.9,1600.81,407.68,4660.39,17879.53,312,57.31
2023-01-22,6,1,2154.1,1642.3,364.83,4161.23,18982.69,410,46.3
2023-01-23,0,0,2251.66,1952.37,402.41,4606.44,18933.65,281,67.38
2023-01-24,1,0,1813.47,1770.38,605.36,4189.21,18293.44,398,45.96
2023-01-25,2,0,2087.0,1468.06,405.06,3960.12,19083.38,365,52.28
2023-01-26,3,0,2292.94,1406.87,763.24,4463.05,19863.28,335,59.29
2023-01-27,4,0,1923.64,1688.03,749.33,4361.0,19660.37,549,35.81
2023-01-28,5,1,2390.84,1328.66,518.48,4237.98,17613.94,544,32.38
2023-01-29,6,1,2107.05,1962.04,414.16,4483.25,16149.09,465,34.73
2023-01-30,0,0,2208.76,1834.64,570.03,4613.43,20854.27,333,62.63
2023-01-31,1,0,2124.69,1507.9,442.44,4075.03,17333.33,390,44.44
2023-02-01,2,0,2869.73,1262.06,512.2,4643.99,20017.63,265,75.54
2023-02-02,3,0,2318.75,1878.38,756.01,4953.14,19070.82,430,44.35
2023-02-03,4,0,2014.15,1587.58,690.39,4292.12,18693.23,361,51.78
2023-02-04,5,1,2586.78,1860.9,614.93,5062.61,18853.7,288,65.46
2023-02-05,6,1,1982.23,1297.27,429.68,3709.18,16642.45,238,69.93
2023-02-06,0,0,2419.5,1499.07,496.5,4415.07,19790.2,280,70.68
2023-02-07,1,0,1777.19,1622.74,677.08,4077.01,20104.71,324,62.05
2023-02-08,2,0,1974.77,1633.81,437.3,4045.88,19157.23,318,60.24
2023-02-09,3,0,2440.32,1537.07,681.24,4658.63,19529.63,349,55.96
2023-02-10,4,0,2610.72,1754.3,770.78,5135.8,21533.63,373,57.73
2023-02-11,5,1,2448.39,1418.8,443.75,4310.94,18845.38,424,44.45
2023-02-12,6,1,2369.97,1606.41,563.24,4539.62,16705.03,399,41.87
2023-02-13,0,0,2321.9,1661.47,597.26,4580.63,20391.82,408,49.98
2023-02-14,1,0,1976.12,1742.78,562.18,4281.08,19928.13,413,48.25
2023-02-15,2,0,2211.04,1784.65,342.98,4338.67,19279.45,424,45.47
2023-02-16,3,0,2295.99,1419.8,427.29,4143.08,20695.62,363,57.01
2023-02-17,4,0,2758.39,1340.26,675.25,4773.9,20258.61,340,59.58
2023-02-18,5,1,2551.27,1904.93,492.56,4948.76,18982.84,373,50.89
2023-02-19,6,1,1926.07,1718.12,562.07,4206.26,17252.0,266,64.86
2023-02-20,0,0,2558.87,1504.19,517.77,4580.83,20215.62,524,38.58
2023-02-21,1,0,2352.65,1966.29,366.47,4685.41,19265.82,401,48.04
2023-02-22,2,0,2271.49,1681.32,538.02,4490.83,18535.77,433,42.81
2023-02-23,3,0,2664.32,1896.13,561.06,5121.51,22732.48,725,31.36
2023-02-24,4,0,2796.22,1675.81,755.98,5228.01,20449.8,416,49.16
2023-02-25,5,1,2772.27,2076.44,608.08,5456.79,18870.66,387,48.76
2023-02-26,6,1,2246.94,2017.3,583.39,4847.63,16569.31,254,65.23
2023-02-27,0,0,2411.61,1618.33,545.92,4575.86,19679.52,349,56.39
2023-02-28,1,0,2609.27,1864.28,492.98,4966.53,19734.3,496,39.79
2023-03-01,2,0,2807.92,1800.83,333.9,4942.65,22869.3,334,68.47
2023-03-02,3,0,2376.72,1947.22,542.96,4866.9,21829.42,351,62.19
2023-03-03,4,0,2469.84,1482.19,720.77,4672.8,19823.26,355,55.84
2023-03-04,5,1,2198.54,1814.02,527.16,4539.72,20652.08,433,47.7
2023-03-05,6,1,2176.33,1890.08,372.33,4438.74,19316.42,478,40.41
2023-03-06,0,0,2783.54,1328.18,391.89,4503.61,20325.3,439,46.3
2023-03-07,1,0,2951.08,1444.75,605.32,5001.15,18896.24,310,60.96
2023-03-08,2,0,2526.87,1274.98,496.04,4297.89,22495.59,327,68.79
2023-03-09,3,0,2853.64,1630.31,568.15,5052.1,20094.25,307,65.45
2023-03-10,4,0,2665.02,1829.02,702.83,5196.87,19913.61,441,45.16
2023-03-11,5,1,2366.77,1987.24,502.98,4856.99,20121.22,519,38.77
2023-03-12,6,1,2672.33,1702.79,593.83,4968.95,21829.06,425,51.36
2023-03-13,0,0,3028.77,2014.84,448.4,5492.01,23749.26,735,32.31
2023-03-14,1,0,2559.89,1414.19,509.61,4483.69,21167.75,398,53.19
2023-03-15,2,0,3043.13,1350.57,453.77,4847.47,22029.35,454,48.52
2023-03-16,3,0,1790.75,1681.12,456.55,3928.42,20296.54,448,45.3
2023-03-17,4,0,2826.01,1769.96,669.08,5265.05,22632.2,665,34.03
2023-03-18,5,1,2608.15,1687.47,522.21,4817.83,19524.58,354,55.15
2023-03-19,6,1,2494.76,1281.33,452.13,4228.22,18451.8,413,44.68
2023-03-20,0,0,2614.24,1677.75,625.58,4917.57,21241.62,555,38.27
2023-03-21,1,0,1992.51,1435.37,410.54,3838.42,18738.57,881,21.27
2023-03-22,2,0,2524.78,1830.83,481.31,4836.92,20949.87,421,49.76
2023-03-23,3,0,2699.54,1770.79,456.03,4926.36,19780.39,292,67.74
2023-03-24,4,0,3037.33,1510.01,844.7,5392.04,22055.83,331,66.63
2023-03-25,5,1,2439.85,1595.67,519.66,4555.18,17834.44,393,45.38
2023-03-26,6,1,2353.98,1487.0,603.18,4444.16,17473.32,397,44.01
2023-03-27,0,0,2447.02,1686.65,351.44,4485.11,20943.12,383,54.68
2023-03-28,1,0,2873.02,1890.49,526.71,5290.22,23492.45,587,40.02
2023-03-29,2,0,2697.69,1502.54,588.96,4789.19,22151.77,418,52.99
2023-03-30,3,0,2440.62,1800.66,508.23,4749.51,19517.71,338,57.74
2023-03-31,4,0,2753.84,1593.9,806.55,5154.29,20714.76,333,62.21
2023-04-01,5,1,2629.12,1541.42,448.27,4618.81,20009.39,408,49.04
2023-04-02,6,1,2890.54,1678.58,640.93,5210.05,19007.19,396,48.0
2023-04-03,0,0,2389.11,1492.86,729.89,4611.86,20521.41,498,41.21
2023-04-04,1,0,2501.03,1589.05,463.72,4553.8,21396.03,513,41.71
2023-04-05,2,0,2481.12,1460.01,455.45,4396.58,19633.1,411,47.77
2023-04-06,3,0,2158.94,2092.28,645.34,4896.56,21196.99,395,53.66
2023-04-07,4,0,2685.9,1706.07,857.96,5249.93,20440.16,346,59.08
2023-04-08,5,1,2674.27,1558.71,447.71,4680.69,18565.75,442,42.0
2023-04-09,6,1,2596.2,1741.02,457.98,4795.2,19609.04,302,64.93
2023-04-10,0,0,2522.83,1675.27,471.82,4669.92,19403.43,410,47.33
2023-04-11,1,0,2166.96,1653.0,365.55,4185.51,20577.28,413,49.82
2023-04-12,2,0,2463.56,1819.42,408.13,4691.11,20993.53,494,42.5
2023-04-13,3,0,2484.95,1847.42,399.59,4731.96,21631.96,840,25.75
2023-04-14,4,0,2344.92,1589.1,623.22,4557.24,20848.67,354,58.89
2023-04-15,5,1,2534.89,1579.26,496.53,4610.68,20278.23,353,57.45
2023-04-16,6,1,2701.98,1638.58,523.42,4863.98,19478.71,413,47.16
2023-04-17,0,0,3143.94,1232.31,655.05,5031.3,21252.4,419,50.72
2023-04-18,1,0,2627.6,1388.71,400.16,4416.47,20736.88,376,55.15
2023-04-19,2,0,2649.47,1964.11,598.43,5212.01,22247.89,647,34.39
2023-04-20,3,0,2546.68,2018.67,478.6,5043.95,21493.91,481,44.69
2023-04-21,4,0,1990.03,1638.75,695.05,4323.83,20002.1,345,57.98
2023-04-22,5,1,2554.17,1802.69,567.48,4924.34,18566.92,496,37.43
2023-04-23,6,1,2576.5,1748.39,387.73,4712.62,18373.77,347,52.95
2023-04-24,0,0,3293.55,2300.63,538.24,6132.42,21946.55,602,36.46
2023-04-25,1,0,2492.84,1907.43,516.65,4916.92,22865.8,418,54.7
2023-04-26,2,0,2636.83,1656.54,549.25,4842.62,19795.66,399,49.61
2023-04-27,3,0,2531.6,1489.56,528.92,4550.08,19843.62,586,33.86
2023-04-28,4,0,2186.9,1357.88,945.53,4490.31,19325.26,313,61.74
2023-04-29,5,1,2875.68,1718.3,436.23,5030.21,20424.52,479,42.64
2023-04-30,6,1,2753.59,1524.73,446.9,4725.22,18690.25,446,41.91
2023-05-01,0,0,2760.33,1389.89,437.69,4587.91,21906.05,421,52.03
2023-05-02,1,0,2245.07,1543.31,444.45,4232.83,19165.5,312,61.43
2023-05-03,2,0,2933.43,1454.55,436.26,4824.24,21326.92,535,39.86
2023-05-04,3,0,2086.59,2006.48,618.9,4711.97,19502.21,385,50.66
2023-05-05,4,0,2677.61,1843.51,842.05,5363.17,23615.47,435,54.29
2023-05-06,5,1,3152.95,1663.68,442.93,5259.56,18663.94,328,56.9
2023-05-07,6,1,2192.76,1959.3,416.76,4568.82,18633.23,360,51.76
2023-05-08,0,0,2314.0,1676.77,547.14,4537.91,20743.51,448,46.3
2023-05-09,1,0,2507.61,1486.98,444.78,4439.37,20492.81,491,41.74
2023-05-10,2,0,2320.35,1961.75,563.29,4845.39,20318.28,399,50.92
2023-05-11,3,0,1999.73,1762.76,520.29,4282.78,19358.72,493,39.27
2023-05-12,4,0,2478.9,1445.33,548.43,4472.66,20009.7,963,20.78
2023-05-13,5,1,2132.91,1612.47,654.75,4400.13,17611.57,324,54.36
2023-05-14,6,1,2586.81,1473.12,679.59,4739.52,19416.89,329,59.02
2023-05-15,0,0,2161.91,1369.35,438.72,3969.98,21215.76,805,26.35
2023-05-16,1,0,2895.59,1828.77,461.23,5185.59,20591.1,516,39.91
2023-05-17,2,0,2188.37,2023.0,528.59,4739.96,18686.78,333,56.12
2023-05-18,3,0,2319.35,1358.94,533.45,4211.74,19202.12,272,70.6
2023-05-19,4,0,2652.52,1748.75,765.85,5167.12,23316.05,464,50.25
2023-05-20,5,1,2031.58,1503.48,701.02,4236.08,16419.29,384,42.76
2023-05-21,6,1,2461.33,1533.61,482.31,4477.25,19515.14,405,48.19
2023-05-22,0,0,2777.38,1509.93,420.17,4707.48,21843.68,343,63.68
2023-05-23,1,0,1895.01,1452.95,362.07,3710.03,17664.23,406,43.51
2023-05-24,2,0,2424.56,1632.76,426.91,4484.23,20140.01,479,42.05
2023-05-25,3,0,2438.94,1454.13,496.69,4389.76,20989.04,465,45.14
2023-05-26,4,0,2587.22,1671.65,879.46,5138.33,19945.59,493,40.46
2023-05-27,5,1,1973.18,1604.71,448.24,4026.13,16561.19,323,51.27
